Utterance,Emotion,,,,,,
"Alright, what have we learned so far?",neutral,,,,,,
SURPRISE!!!,happy,,,,,,
What the hell are you doing? You fearful the crap outta me.,fearful,,,,,,
Was that the cake?,neutral,,,,,,
"Yeah, yeah. I got a lemon schmush.",neutral,,,,,,
"Come on, she'll be here any minute.",neutral,,,,,,
I hope it's okay.,neutral,,,,,,
Oh...,neutral,,,,,,
"""Happy Birthday Peehe.""",neutral,,,,,,
"Yeah, we'll just use our special cake tools.",angry,,,,,,
"Hey, what's going on?",neutral,,,,,,
"Oh, we just...",neutral,,,,,,
Surprise!,happy,,,,,,
Did you see Betty?,neutral,,,,,,
"Dad, before I was born, did you freak out at all?",neutral,,,,,,
"I'm not freaking out, I'm just saying, if somebody had come to me with the idea andndash;",neutral,,,,,,
"Dad, dad, dad, I'm talkin' about the whole uh, baby thing. Did you uh, ever get this sort of... panicky, ""Oh my god I'm gonna be a father"" kind of a thing?",fearful,,,,,,
No. Your mother really did the work. I was busy with the business. I wasn't around that much. Is that what this is about?,neutral,,,,,,
"No, no, Dad, I was just wondering.",neutral,,,,,,
So you don't wanna go to Williamsburg?,neutral,,,,,,
"No, we can go to Williamsburg.",neutral,,,,,,
Eat your fish.,neutral,,,,,,
"Daddy... Daddy... Daddy, why whyyy would I sleep with Billy Dreskin? His father tried to put you out of business! ...dead!",fearful,,,,,,
"Ross, he's got the remote again.",neutral,,,,,,
Good. Maybe he can switch it back.,happy,,,,,,
Maybe not.,neutral,,,,,,
"Oh god, waddawe do, waddawe do, waddawe do?",fearful,,,,,,
"Okay no, you do it.",fearful,,,,,,
"Hello, this is Monica... Yeah??? Oh... Okay, yes, we'll be right, we'll be right down. Thank you.",neutral,,,,,,
What?,fearful,,,,,,
We forgot to sign one of the admissions forms.,neutral,,,,,,
Thank you.,neutral,,,,,,
"Okay, let me just change.",neutral,,,,,,
Yes.,neutral,,,,,,
Hey.,neutral,,,,,,
Hey!,happy,,,,,,
Hi.,neutral,,,,,,
Trouble?,neutral,,,,,,
Well did you try calling her?,neutral,,,,,,
"Hi, remember us?",neutral,,,,,,
Mmm hmmm.,neutral,,,,,,
You're that stupid.,angry,,,,,,
I am. I'm that stupid.,fearful,,,,,,
"Yeah, and and, I'm just gonna pay for this with a check.",happy,,,,,,
"Well, you know your insurance will cover that.",neutral,,,,,,
"Yeah, I know... ..I'm I'm just not that bright either.",fearful,,,,,,
"Okay, worst case scenario. Say you never feel like a father.",fearful,,,,,,
Uh-huh.,neutral,,,,,,
"Say your son never feels connected to you, as one. Say all of his relationships are affected by this.",sad,,,,,,
Do you have a point?,neutral,,,,,,
"You know, you think I would.",neutral,,,,,,
What's up with the simian?,neutral,,,,,,
It's just a fur ball.,neutral,,,,,,
Okay... ..whose turn is it?,happy,,,,,,
"Yours, I just got 43 points for 'KIDNEY'.",neutral,,,,,,
"No, no, you got zero points for 'IDNEY'.",neutral,,,,,,
I had a 'K'. Where's where's my 'K'?,neutral,,,,,,
You've got to help me my monkey swallowed a 'K'!,fearful,,,,,,
You go get that animal outta here.,angry,,,,,,
What's goin' on?,neutral,,,,,,
Marcel swallowed a Scrabble tile.,fearful,,,,,,
Oh.,fearful,,,,,,
Excuse me... This hospital is for people!,angry,,,,,,
I'll take a look at him.,neutral,,,,,,
"Oh, thank you.",happy,,,,,,
Michael.,neutral,,,,,,
Rachel.,neutral,,,,,,
What?,neutral,,,,,,
Monica.,neutral,,,,,,
Oh.,neutral,,,,,,
Hi.,neutral,,,,,,
Hi.,neutral,,,,,,
Hey.,neutral,,,,,,
Urse...,fearful,,,,,,
"Listen, um...",sad,,,,,,
I'm sorry.,sad,,,,,,
You don't drink.,angry,,,,,,
"That's right, I don't... But I was, I was drunk on you!",sad,,,,,,
"Oh, Urse...",sad,,,,,,
"Okay, yeah, so it's not gonna work.",happy,,,,,,
Why? Is it because I'm friends with Phoebe?,fearful,,,,,,
"If it was, would you stop hanging out with her?",fearful,,,,,,
"no. No, I, I couldn't do that.",fearful,,,,,,
"Um, then yes, it's 'cause of Phoebe! So, you know, it's either her or me.",angry,,,,,,
"Then, uh, then I'm sorry.",sad,,,,,,
"You know... You're gonna be really, really hard to get over.",happy,,,,,,
I know...,happy,,,,,,
"I don't know whether it's just 'cause we're breakin' up or... what, but you have never looked so beautiful.",sad,,,,,,
Really?,fearful,,,,,,
Pheebs?,fearful,,,,,,
Yeah. Oooh...,fearful,,,,,,
He looks so tiny.,happy,,,,,,
We just got the message.,happy,,,,,,
Is he alright?,fearful,,,,,,
Yeah. The doctor got the 'K' out. He also found an 'M' and an 'O'.,fearful,,,,,,
We think he was trying to spell out 'MONKEY.',neutral,,,,,,
"Well, the doctor says he's gonna be fine, he's just sleeping now.",happy,,,,,,
"So, you feel like a dad yet?",sad,,,,,,
"No, why?",fearful,,,,,,
"Hey, come on, you came through, you did what you had to do. That is very dad.",happy,,,,,,
"Oh, look, he's waking up!",happy,,,,,,
"hey, fella! How you doing?",happy,,,,,,
Aqui est.,happy,,,,,,
Pudo aver sido General Tso!,happy,,,,,,
Ewww!,angry,,,,,,
"Hola, Joey!",happy,,,,,,
"Alright boys, let's eat.",neutral,,,,,,
"Oh, did you get that from the 'I Love Rachel' pizzeria?",neutral,,,,,,
You still on that?,neutral,,,,,,
"Oh, come on. What was with that whole Black Bart speech? : ""When I play poker, I'm not a nice guy!""",angry,,,,,,
"You are way off, pal.",angry,,,,,,
"No, I don't think so, see Ross, because I think you love her.",neutral,,,,,,
Marcel! Where are you going with that disc?,neutral,,,,,,
"You are not putting that on again! Marcel, OKif you press that button, you are in very, very big trouble.",angry,,,,,,
"Ross, could we please, please, please listen to anything else?",happy,,,,,,
Alright.,neutral,,,,,,
I'm gonna pay for that tonight.,neutral,,,,,,
Hi!,happy,,,,,,
Hey.,neutral,,,,,,
"Guys! Guess what, guess what, guess what, guess what!",happy,,,,,,
"Um, ok... the... the fifth dentist caved and now they're all recommending Trident?",neutral,,,,,,
"Noooo... the interview! She loved me! She absolutely loved me. We talked for like two and a half hours, we have the same taste in clothes, andoh, I went to camp with her cousin... And, oh, the job is perfect. I can do this. I can do this well!",happy,,,,,,
That's great! That's wonderful!,happy,,,,,,
"Oh God, oh, and then she told the funniest story...",happy,,,,,,
"OK, great. You'll tell us and we'll laugh. Let's play poker.",happy,,,,,,
"Oh yes, yes, we could play some other game... like, uh, I don't know... Pictionary?",neutral,,,,,,
"Ha, ha, very funny, very funny. But I think we'd like to give poker another try. Shall we, ladies?",happy,,,,,,
"Yes, we should. I think we should.",neutral,,,,,,
"Uh, Rach, do you want me to shuffle those?",neutral,,,,,,
"No, no, thats OK. Y'know, I think I'm gonna give it a go.",neutral,,,,,,
Alright.,neutral,,,,,,
Alright...,neutral,,,,,,
"Alright, here's my $7.50. But I think you should know that this money is cursed.",happy,,,,,,
What?,neutral,,,,,,
"Oh, I cursed it. So now bad things will happen to he who spends it.",happy,,,,,,
"That's alright, I'll take it. Bad things happen to me anyway. This way I can break 'em up with a movie.",happy,,,,,,
"Well, that just leaves the big Green poker machine, who owes fifteen...",neutral,,,,,,
"Mmm-hmmm. Oh, so typical. Ooo, I'm a man. Ooo, I have a penis. Ooo, I have to win money to exert my power over women.",happy,,,,,,
"You know what? This is not over. We will play you again, and we will win, and you will lose, and you will beg, and we will laugh, and we will take every last dime you have, and you will hate yourselves forever.",angry,,,,,,
"Hmm. Kinda stepped on my point there, Mon.",neutral,,,,,,
Airplane! Airport! Airport '75! Airport '77! Airport '79!,neutral,,,,,,
"Oh, time's up.",neutral,,,,,,
Bye... bye... BIRDIE.,sad,,,,,,
Oh!,neutral,,,,,,
That's a bird?,neutral,,,,,,
That's a bird!,happy,,,,,,
"OK, OK, it's my turn.",neutral,,,,,,
Go.,neutral,,,,,,
Uh.... bean! Bean!,happy,,,,,,
The Unbearable Likeness of Being!,happy,,,,,,
Yes!,happy,,,,,,
"That, you get? That, you get?",neutral,,,,,,
"Mail call, Rachel Green, bunk seven.",neutral,,,,,,
"Thank you. Oh, cool! Free sample of coffee!",happy,,,,,,
Oh good! 'Cause where else would we get any?,happy,,,,,,
Oh. Right. ...Oh great.,happy,,,,,,
What is it?,neutral,,,,,,
"Country club newsletter. My mother sends me the engagement notices for 'inspiration.' Oh my God! Oh my God, it's Barry and Mindy!",happy,,,,,,
Barry who you almost...?,neutral,,,,,,
Barry who I almost.,neutral,,,,,,
"And Mindy, your maid of...?",neutral,,,,,,
"Mindy, my maid of. Oh!",happy,,,,,,
"That's Mindy? Wow, she is pretty. Lucky. To have had a friend like you.",happy,,,,,,
I can't believe we are even having this discussion.,angry,,,,,,
"I agree. I'm, like, in disbelief.",neutral,,,,,,
"I mean, don't you think if things were gonna happen with Rachel, they would've happened already?",neutral,,,,,,
"I'm telling you, she said she's looking for a relationship with someone exactly like me.",neutral,,,,,,
She really said that?,neutral,,,,,,
"Well, I added the 'exactly like me' part... But she said she's looking for someone, and someone is gonna be there tonight.",neutral,,,,,,
'Tonight' tonight?,neutral,,,,,,
"Well, I think it's perfect. Y'know, it's just gonna be the two of us, she spent all day taking care of my monkey...",neutral,,,,,,
I can't remember the last time I got a girl to take care of my monkey.,neutral,,,,,,
"Anyway, I figured after work I'd go pick up a bottle of wine, go over there and, uh, try to woo her.",neutral,,,,,,
"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used.",neutral,,,,,,
"Y'know, with the right pair of pumps, that would be a great little outfit.",neutral,,,,,,
"Listen, I'm- I'm sorry I was so hard on you before, it's just I...",sad,,,,,,
"Oh, Ross, c'mon. It's my fault, I almost lost your...",neutral,,,,,,
That'd be good.,neutral,,,,,,
Rachel.,neutral,,,,,,
Barry?!,neutral,,,,,,
"I can't. I can't do it, I can't marry Mindy. I think I'm still in love with you.",fearful,,,,,,
Oh!,neutral,,,,,,
We have got to start locking that door!,neutral,,,,,,
This is me in The Sound of Music. See the von Trapp kids?,neutral,,,,,,
Nope.,neutral,,,,,,
That's because I'm in front of them.,neutral,,,,,,
Eh. I thought that was an alp.,neutral,,,,,,
"Well, high school was not my favourite time.",sad,,,,,,
"I dunno, I loved high school. Y'know? It was just four years of parties and dating and sex.",happy,,,,,,
"Yeah, well I went to boarding school with four hundred boys. Any sex I had would've involved a major lifestyle choice.",neutral,,,,,,
"Gosh, doesn't it seem like a million years ago?",neutral,,,,,,
I have no idea. But look how much they spent!,angry,,,,,,
I know. It's just such reckless spending.,sad,,,,,,
"I think when someone steals your credit card, they've kind of already thrown caution to the wind.",neutral,,,,,,
"Wow, what a geek. They spent $69.95 on a Wonder Mop.",happy,,,,,,
That's me.,neutral,,,,,,
"Oh! The yuk! Ross, he's doing it again!",fearful,,,,,,
"Marcel, stop humping the lamp! Stop humping! Now Marcel, come back- come here, Marcel-",angry,,,,,,
"Oh no, not in my room! I'll get him.",fearful,,,,,,
"Ross, you've got to do something about the humping.",neutral,,,,,,
"What? It's, it's just a phase.",neutral,,,,,,
"Well, that's what we said about Joey...",happy,,,,,,
Would you all relax? It's not that big a deal.,neutral,,,,,,
Stop it! Marcel! Bad monkey!,angry,,,,,,
What?,neutral,,,,,,
Let's just say my Curious George doll is no longer curious.,sad,,,,,,
"Oh, Monica. You are not still going over that thing.",neutral,,,,,,
This woman's living my life.,neutral,,,,,,
What?,neutral,,,,,,
You're not an artist.,neutral,,,,,,
"Yeah, well I might be if I had the supplies! I mean, I could do all this stuff. Only I don't.",neutral,,,,,,
"Oh, Monica, c'mon, you do cool things.",happy,,,,,,
"Oh really? Okay, let's compare, shall we.",neutral,,,,,,
"Oh, it's so late for 'Shall we'...",neutral,,,,,,
Do I go horseback riding in the park? Do I take classes at the New School?,neutral,,,,,,
Nooo...,sad,,,,,,
"This is so unfair! She's got everything I want, and she doesn't have my mother.",angry,,,,,,
How about Joey... Pepponi?,happy,,,,,,
"No, still too ethnic. My agent thinks I should have a name that's more neutral.",neutral,,,,,,
Joey... Switzerland?,neutral,,,,,,
"Plus, y'know, I think it should be Joe. Y'know, Joey makes me sound like I'm, I dunno, this big. Which I'm not.",happy,,,,,,
Joe...Joe...Joe...Stalin?,happy,,,,,,
Stalin...Stalin...do I know that name? It sounds familiar.,happy,,,,,,
"Well, it does not ring a bell with me...",neutral,,,,,,
"Joe Stalin. Y'know, that's pretty good.",neutral,,,,,,
Might wanna try Joseph.,neutral,,,,,,
Joseph Stalin. I think you'd remember that!,happy,,,,,,
"Oh yes! Bye Bye Birdie, starring Joseph Stalin. Joseph Stalin is the Fiddler on the Roof.",happy,,,,,,
Hey.,neutral,,,,,,
Hey.,neutral,,,,,,
What are you doing?,neutral,,,,,,
"Alright, great. Thanks a lot. I'm going to tap class.",happy,,,,,,
"This woman's got my life, I should get to see who she is.",happy,,,,,,
"This is angryness. It's angryness, I tell you, for the love of God, Monica, don't do it!! ...Thank you.",angry,,,,,,
Hi.,fearful,,,,,,
Hey.,neutral,,,,,,
Where've you been?,fearful,,,,,,
At the vet.,neutral,,,,,,
"She's not gonna make you wear one of those big plastic cones, is she?",angry,,,,,,
She says Marcel's humping thing's not a phase. Apparently he's reached sexual maturity.,neutral,,,,,,
Hey! He beat ya.,happy,,,,,,
"She says as time goes on, he's gonna start getting agressive and violent.",neutral,,,,,,
So what does this mean?,neutral,,,,,,
I'm gonna have to give him up.,sad,,,,,,
"I can't believe it, Ross. This sucks!",angry,,,,,,
"I don't get it, I mean, you just got him. How can he be an adult already?",neutral,,,,,,
Isn't there any way you can keep him?,neutral,,,,,,
"No, no. The vet says unless he's in a place where he has regular access to some... monkey lovin,' he's just gonna get vicious. I've just gotta get him into a zoo.",neutral,,,,,,
How do you get a monkey into a zoo?,fearful,,,,,,
"I know that one! ...No, that's Popes into a Volkswagen.",happy,,,,,,
"Yeah, but that's like two blocks away from the beach. I mean, it's a total party zoo.",neutral,,,,,,
"Hey. We found her, we found the girl.",happy,,,,,,
What?,fearful,,,,,,
Did you call the cops?,fearful,,,,,,
Nope. We took her to lunch.,neutral,,,,,,
Ah. Your own brand of vigilante justice.,happy,,,,,,
What?! Are you insane? This woman stole from you. She stole. She's a stealer.,angry,,,,,,
"Yeah, which she probably stole from some cheerleader.",angry,,,,,,
...Take off their hats!,happy,,,,,,
Popes in a Volkswagen! ...I love that joke.,happy,,,,,,
No way. No way did you do this.,fearful,,,,,,
Monana was very brave.,happy,,,,,,
It was so wild. We told them we were the Gunnersens in room six fifteen. Only to find out the Boston Celtics had taken over the entire sixth floor!,happy,,,,,,
"So once they caught on to the fact that we're, y'know, short and have breasts...",happy,,,,,,
...They threw us out! I was thrown out of a hotel! Me!,angry,,,,,,
"Go Monana! Well, you ladies are not the only ones living the dream. I get to go pour coffee for people I don't know. Don't wait up.",happy,,,,,,
"Oh, by the way, tomorrow we're auditioning for a Broadway show.",neutral,,,,,,
'Scuse me?,fearful,,,,,,
"There's an open call for Cats. I'm thinking we go down there, sing Memories and make complete fools of ourselves. Whaddya say?",neutral,,,,,,
What?,fearful,,,,,,
"Well, you're Pennsylvania Dutch, right?",neutral,,,,,,
"Right. Till I bought a blow dryer, then I was shunned.",angry,,,,,,
I-I used to be just like you. And then one day I saw a movie that changed my life. Did you ever see Dead Poets' Society?,neutral,,,,,,
Uh-huh.,neutral,,,,,,
"I thought that movie was so incredibly... boring. I mean, that thing at the end where the kid kills himself because he can't be in the play? What was that?! It's like, kid, wait a year, leave home, do some community theatre. I walked out of there and I thought, 'Now, that's two hours of my life that I'm never getting back.' And that thought fearful me more than all the other crap I was afraid to do.",happy,,,,,,
Wow. Then I would definitely not recommend Mrs. Doubtfire.,neutral,,,,,,
I'd say that chair's taking the brunt.,neutral,,,,,,
"Marcel! Marcel! Marcel, no! Good boy. See, how can nobody want him?",sad,,,,,,
"Oh, somebody will.",happy,,,,,,
You know there already is a Joseph Stalin?,happy,,,,,,
You're kidding.,happy,,,,,,
Apparently he was this Russian dictator who slaughtered all these people. You'd think you would've known that!,angry,,,,,,
"Y'know, you'd think I would've.",happy,,,,,,
Phoebe. Whaddyou think a good stage name for me would be?,neutral,,,,,,
...Flame Boy.,happy,,,,,,
Where exactly is your zoo?,neutral,,,,,,
"Well, it's technically not a zoo per se, it's more of an interactive wildlife experience. Let me ask you some questions about, is it, uh, Marcel?",neutral,,,,,,
Yes.,neutral,,,,,,
"Does he, uh, fight with other animals?",fearful,,,,,,
"No-no, he's, he's very docile.",neutral,,,,,,
Even if he were... cornered?,neutral,,,,,,
"Well I, I don't know. Why?",neutral,,,,,,
"Uh, how is he at handling small objects?",neutral,,,,,,
"He can hold a banana, if that's whatcha mean...",neutral,,,,,,
"How about a hammer, or a small blade?",neutral,,,,,,
Why- why- why would he need a blade?,fearful,,,,,,
"Well, if he's up against a jungle cat or an animal with horns, you've got to give the little guy something. Otherwise it's just cruel.",neutral,,,,,,
"We, we come back from our walk and the- the phone was ringing...",neutral,,,,,,
...He's in.,neutral,,,,,,
"He's in! Oh, did you hear that, Marcel? San Diego. San Diego!",happy,,,,,,
Yo- hooo!,happy,,,,,,
Where the hell've you been?,angry,,,,,,
Monica and I just crashed an embassy party.,happy,,,,,,
Are you drunk?!,angry,,,,,,
Noooo! I'm lying. I am so drunk.,happy,,,,,,
Monica? Monica!,neutral,,,,,,
Water rules!,happy,,,,,,
Nope. Going to the Big Apple Circus today.,happy,,,,,,
"Okay Monica, what are you doing? You're gonna lose your job! This is not you!",angry,,,,,,
"No, it is me! Y'know, I'm not just the person who needs to fluff the pillows and pay the bills as soon as they come in! Y'know, when I'm with her, I am so much more than that. I'm- I'm Monana!",happy,,,,,,
"Hello? Yes, she is, hold on a second, please. Monana, it's for you, the credit card people.",neutral,,,,,,
Helloooo? Yeah. Oh my God. Thanks.,happy,,,,,,
What?,neutral,,,,,,
They've arrested Monica.,neutral,,,,,,
Hi.,neutral,,,,,,
Hey.,neutral,,,,,,
How are you?,neutral,,,,,,
"I'm not too bad. Fortunately, blue's my colour. How-how did you know I was here?",neutral,,,,,,
Because... I'm Monica Geller. It was my credit card you were using.,angry,,,,,,
That I was not expecting.,fearful,,,,,,
"I want you to know, it wasn't me who turned you in.",sad,,,,,,
Oh. Thanks.,neutral,,,,,,
"Well, actually, you only got to sing 'Memo-'.",neutral,,,,,,
"Monica, I started my day by peeing in front of twenty-five other women, and you're worried about who's gonna take you to the Big Apple Circus?",happy,,,,,,
"Well, not... worried, just... wondering.",sad,,,,,,
"There's nothing to wonder about, Monica. You're gonna go back to being exactly who you were, because that's who you are.",neutral,,,,,,
Not necessarily...,neutral,,,,,,
"Yes necessarily! I mean, I dunno what it is, maybe it's the Amish thing.",happy,,,,,,
"Um, I'm not actually Amish.",neutral,,,,,,
Really? Then why are you like that?,neutral,,,,,,
"This is the final boarding call for flight 67 to San Diego, boarding at gate 42A.",neutral,,,,,,
"Okay. Good-bye, little monkey guy. Alright, I wrote you this poem. Okay, but don't eat it 'till you get on the plane.",sad,,,,,,
"Aww. Thank you, Aunt Phoebe.",happy,,,,,,
Oh!,neutral,,,,,,
"Okay, bye, champ. Now, I know there's gonna be a lot of babes in San Diego, but remember, there's also a lot to learn.",neutral,,,,,,
"I dunno what to say, Ross. Uh, it's a monkey.",neutral,,,,,,
"Just, just say what you feel.",neutral,,,,,,
"Marcel, I'm hungry.",neutral,,,,,,
That was good.,neutral,,,,,,
"Marcel, this is for you. It's, uh, just, y'know, something to, um, do on the plane.",happy,,,,,,
"Uh, if you guys don't mind, I'd like to take a moment, just me and him.",happy,,,,,,
"Oh, sure. Sure, absolutely.",neutral,,,,,,
"Oh, that I were a glove upon that hand, that I might... touch thy cheek...",fearful,,,,,,
"That's fine, thank you.",neutral,,,,,,
Next.,neutral,,,,,,
"Hi, uh, I'll be reading for the role of Mercutio.",fearful,,,,,,
Name?,neutral,,,,,,
Holden McGroin.,neutral,,,,,,
Tell him.,happy,,,,,,
No.,neutral,,,,,,
"Tell him, tell him.",happy,,,,,,
Just...please tell him.,happy,,,,,,
Shut up!,angry,,,,,,
Tell me what?,fearful,,,,,,
Doing it on this table.,happy,,,,,,
Wow!,happy,,,,,,
Exellent dream score.,happy,,,,,,
"Why, why, why would you dream that?",fearful,,,,,,
"More importantly, was I any good?",happy,,,,,,
"Well, you were pretty damn good.",happy,,,,,,
"Interesting, cause in my dreams, I'm allways surprisingly inadequate.",happy,,,,,,
"Well, last night you seemed to know your way around the table.",happy,,,,,,
"I love it, when we share.",happy,,,,,,
You're okay there?,fearful,,,,,,
I can't belive you two had sex in her dream.,angry,,,,,,
"I'm sorry, it was a one-time-thing. I was very drunk and i was somebody else's subconscious.",happy,,,,,,
Can you hear that?,fearful,,,,,,
Yeah?,neutral,,,,,,
See that'll stop when you pick up the phone.,neutral,,,,,,
"Oh. Uh, I'm on.",fearful,,,,,,
"Mr. Bing's office. No I'm sorry, he's in a meeting right now.",happy,,,,,,
I'm not in a meeting. I'm right... Whoops.,fearful,,,,,,
"Will he know what this is in reference to? And he has your number? All right, I'll see that he gets the message. Bye bye.",happy,,,,,,
What?,neutral,,,,,,
Ross says hi.,happy,,,,,,
Ah!,happy,,,,,,
"This is so fun. All right, what do we do now?",happy,,,,,,
"Well, now, I actually have to get to work.",neutral,,,,,,
"Most likely. Okay, I'm gonna be out there.",neutral,,,,,,
Okay.,neutral,,,,,,
All right. Bye bye.,neutral,,,,,,
Bye bye.,neutral,,,,,,
Yes?,neutral,,,,,,
Whatcha doin'?,happy,,,,,,
Ooh.,neutral,,,,,,
"Just a touch. Mon, I don't understand. I mean, you've been dating this guy since like, what... his midterms? I mean, why all the sudden are you so... Oh.",happy,,,,,,
What?,fearful,,,,,,
Could tonight be the Night?,happy,,,,,,
"I don't know. Look he's a great guy and I love being with him but... you know. Things happen, and they happen. You don't plan these things.",fearful,,,,,,
"So, did you shave your legs?",happy,,,,,,
Yeah.,neutral,,,,,,
A-ha!,happy,,,,,,
"What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial.",fearful,,,,,,
I just had sex.,happy,,,,,,
"Ethan, focus. How could you not tell me?",fearful,,,,,,
"Well, you never told me how old you were.",neutral,,,,,,
"Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking?",fearful,,,,,,
I wasn't thinking. I was too busy fallin'...,happy,,,,,,
Don't say it.,angry,,,,,,
...in love with you.,happy,,,,,,
Really?,neutral,,,,,,
Sorry.,sad,,,,,,
"Well,fall out of it. You know, you shouldn't even be here, it's a school night. Oh god, oh god. I'm like those women that you see with shiny guys named Chad. I'm Joan Collins.",angry,,,,,,
Who?,neutral,,,,,,
"I Think last night was great. You know, the Karaoke thing. Tracy and I doing Ebony and Ivory.",happy,,,,,,
You were great. But they still angrye fun of you.,neutral,,,,,,
What?,neutral,,,,,,
"Then, I don't get it.",neutral,,,,,,
"Well, you know what Chandler? I think you've gotta face it. You're like, the guy in the big office, you know. You're the one that hires them, that fires them... They still say you're a great boss.",happy,,,,,,
They do?,neutral,,,,,,
Uh huh. But they're not your friends anymore.,neutral,,,,,,
I just wan't to...,neutral,,,,,,
"No, but you can't.",neutral,,,,,,
But I just wa...,neutral,,,,,,
Uh uh.,neutral,,,,,,
Aren't you gonna...,neutral,,,,,,
"Oh, Carol and I have a new system. If she punches in 911, it means she's having a baby, otherwise I just ignore it.",neutral,,,,,,
What about Andre?,neutral,,,,,,
"Oh, well this morning he got a call from who I think was our cousin Nathan, and frankly, it was a little more than I needed to know.",neutral,,,,,,
Hey.,neutral,,,,,,
That was gonna be my opener.,neutral,,,,,,
"Hey, did you guys check out those new hand-dryers in the bathroom?",neutral,,,,,,
I thought that was just a rumour.,neutral,,,,,,
True story.,neutral,,,,,,
They're here already?,neutral,,,,,,
It was.,neutral,,,,,,
"Then, what's the problem?",neutral,,,,,,
"Ethan, it's um... it's icky.",neutral,,,,,,
Icky? You're actually gonna throw this away because it's icky?,fearful,,,,,,
"No, don't say it.",neutral,,,,,,
...love you.,happy,,,,,,
Are you're hands still wet?,neutral,,,,,,
"Uh, moist, yeah.",neutral,,,,,,
Let's dry 'em again.,neutral,,,,,,
"Uh, like, could these margaritas be any stronger? Hey, Chandler.",angry,,,,,,
"Hello, Mr. Bing.",neutral,,,,,,
Loved your Stevie Wonder last night.,happy,,,,,,
"Thanks. Listen, about the weekly numbers, I'm gonna need them on my desk by nine o'clock.",fearful,,,,,,
Sure.,neutral,,,,,,
No problem.,neutral,,,,,,
"You have to give 'em something, you know. Okay, now that was Gerston, Santos, and who's the guy with the moustache?",neutral,,,,,,
Petrie.,happy,,,,,,
"Petrie, right, right. Okay, some people gonna be working this weekend.",neutral,,,,,,
"Oooooooooh. Oh, that's nice. Oh, oh. Huh, Ross!",happy,,,,,,
Ross?,happy,,,,,,
I'm here.,happy,,,,,,
"You are. Well, um... We, we, we were just... Wow!",happy,,,,,,
"What? Great, now I'm having a baby.",happy,,,,,,
What?,fearful,,,,,,
"Ooh, Ooh.",happy,,,,,,
What?,happy,,,,,,
I'm having... I'm having a baby. I'm having a... Where's the phone? The phone?,fearful,,,,,,
I don't know where the phone is.,neutral,,,,,,
Ross?,sad,,,,,,
I'm hurt.,sad,,,,,,
"Monica, let's go. Come on now people, woman in labor.",fearful,,,,,,
"Hey Ross, look what I've got going here.",happy,,,,,,
"Yeah, save it for the cab, okay.",neutral,,,,,,
"Joey, get out of the fridge.",angry,,,,,,
"All right, all right.",neutral,,,,,,
What is that?,neutral,,,,,,
For the ride.,neutral,,,,,,
"Yeah, like in a cab...",neutral,,,,,,
Save it.,neutral,,,,,,
"Okay, hating this.",angry,,,,,,
I'm sure everything's fine. Has her water broke yet?,neutral,,,,,,
Do we have to know about that?,neutral,,,,,,
"Joey, what are you gonna do when you have a baby?",neutral,,,,,,
"I'm gonna be in the waitin' room, handing out cigars.",happy,,,,,,
"Yes, Joey's angrye arrangements to have his baby in a movie from the 50's.",happy,,,,,,
"God, I don't believe this. She could be giving birth in the cab.",fearful,,,,,,
"Oh, Ross, relax. It's probably like two dollars for the first contraction, and then fifty cents for each additional contraction.",neutral,,,,,,
"What, it's ok when Chandler does it?",happy,,,,,,
You have to pick your moments.,happy,,,,,,
"Did I miss it, did I miss it?",happy,,,,,,
She's not even here yet.,fearful,,,,,,
What's with the guitar?,neutral,,,,,,
Where the hell have you been?,angry,,,,,,
We stopped at the gift shop.,happy,,,,,,
"I was looking at stuffed animals, and Susan wanted a Chunky.",happy,,,,,,
"Susan wanted a Chunky. We're having a baby, ok, a baby, you don't stop for Chunkys.",angry,,,,,,
I used to have that bumper sticker.,happy,,,,,,
You see what I mean.,angry,,,,,,
Stopped for a Chunky.,neutral,,,,,,
"Let it go, Ross.",neutral,,,,,,
I got an extra one. You want this?,neutral,,,,,,
No.,sad,,,,,,
"Dr. Franzblau, hi.",neutral,,,,,,
"59 seconds. Quartz, ha.",neutral,,,,,,
"Swiss quartz, ha, ha.",neutral,,,,,,
Am I allowed to drink anything?,neutral,,,,,,
I'll get it.,happy,,,,,,
I got itI'm getting it!,happy,,,,,,
Thanks.,happy,,,,,,
"Oh, that's funny!",happy,,,,,,
I want a baby.,neutral,,,,,,
Get up. Come on. Let's get some coffee.,happy,,,,,,
"Oh, ok, 'cause we never do that.",sad,,,,,,
Knick fan?,neutral,,,,,,
"Oh, yeah.",neutral,,,,,,
"Oh, boy, do they suck.",neutral,,,,,,
"Hey, listen, lady.... ...whoa.",fearful,,,,,,
Oh yeah? And who do you like?,neutral,,,,,,
The Celtics.,happy,,,,,,
There is no father.,neutral,,,,,,
"Oh, oh, oh, sorry.",sad,,,,,,
"Ok, that's ok. I'm fine. I'm... oh!",fearful,,,,,,
Ok.,neutral,,,,,,
Tribbiani.,neutral,,,,,,
She's not much of a phone person.,neutral,,,,,,
Maybe you should.,neutral,,,,,,
"Good luck, and uh, take care, huh?",neutral,,,,,,
