Utterance,Emotion
Ohhh!!,angry
I think somebody needs another lap dance.,happy
"No thanks, Mom!",disgusted
"Ha-ha, it’s not my baby, ha-ha-ha!",angry
"Ahh, come on! Y’know what—y’know what, I think I’m just gonna go home and call Kathy.",neutral
"Well, if you think it will help.",neutral
No!,angry
That was a test!,fearful
In a couple of hours I’m gonna get really drunk and wanna call Kathy and you guys are gonna have to stop me!,fearful
"And then after that, I’m gonna get so drunk, I’m gonna wanna call Janice",fearful
You should! How is she?,surprised
Ohhh!!,angry
"Ha-ha, it’s not my baby, ha-ha-ha!",angry
"Very good,  so good.",happy
"I really, really enhappyed it. Very exotic.",happy
Come on! Look where you are!!,happy
"When you get a sec, another round of daiquiris.",neutral
"Remember, a virgin for me please.",neutral
Oh! And don’t let me leave without getting the name of that carpet guy.,neutral
"I really, really enhappyed it. Very exotic.",happy
"Well, I just checked our messages and Joshua didn’t call.",sad
I mean you’d think he’d be worried about me not showing up at his club.,sad
"Ugh, you know what makes it so much worse, Ross is all happy in Vermont!",sad
Come on! Look where you are!!,happy
"All right, I definitely taste nutmeg.",neutral
You do?,surprised
"You don’t?  Well, that’s the difference between a professional and a layman.",surprised
That and arrogance.,angry
That and arrogance.,angry
Hey.,neutral
Hey.,neutral
Hey! How was sailing?,happy
Wow thanks!,happy
Joe?,fearful
Yeah!,happy
"Uh, you’ve had a lot of sex right?",neutral
"When? Today? Some, not a lot.",surprised
"Well, it’s just the reason that I’m asking is because I kind of eh, uh, I was unable to—I mean I really wanted to, but I couldn’t….",fearful
"There huh—hmm, there-there was an incident.",fearful
"Don’t worry about that man, that happens.",neutral
It’s happened to you?,surprised
Yeah! Once.,neutral
"Well, what’d you do?",surprised
I did it anyway.,neutral
‘Sup? ‘Sup dude?,neutral
"Take whatever you want, just please don’t hurt me.",fearful
So you’re playing a little,neutral
"Yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19.",disgusted
"Come on man, really how old?!",surprised
"Young! You’re a man-child okay?! Now go get changed because everybody’s ready and please, oh please, keep my underwear!",disgusted
And they knew about it?,surprised
"Okay, well Ross, what is this really about?",surprised
"Look, this is my home and I want to be able to come and go whenever I want!",angry
"Okay, I will find someplace else to do the rest of my appointments. I just don’t know what the big deal is!",angry
"The big deal is I don’t want naked, greasy strangrys in my apartment when I want to kick back with a puzzle—beer! Cold beer.",disgusted
"Okay, look, he's not gonna hurt them, right?",neutral
Do you always have to bring him here?,angry
I didn't wanna leave him alone.,neutral
Alright?,neutral
We- we had our first fight this morning.,neutral
I think it has to do with my working late.,neutral
"I said some things that I didn't mean, and he- he threw some faeces...",neutral
"Oh, that'd be great!",happy
"Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.",neutral
I didn't wanna leave him alone.,neutral
Alright?,neutral
We- we had our first fight this morning.,neutral
I think it has to do with my working late.,neutral
"I said some things that I didn't mean, and he- he threw some faeces...",neutral
"Y'know, if you're gonna work late, I could look in on him for you.",neutral
"Oh, that'd be great!",happy
"Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.",neutral
"Okay, but if he asks, I'm not going to lie.",neutral
Check this out.,neutral
It says here that there’s a place you can go to rent videos of all the museums!,surprised
"""It’s almost as good as being there.""",neutral
It’s better! You can’t go to a museum in your underwear!,happy
Oh-ho! I bet the British version is gooooood!,happy
"Uh, may I help you?",neutral
"Yeah, I talked to you on the phone, I’m the lady that got stuck with the racecar bed.",neutral
"Look, it’s like I told you, there’s nothing I can do. You signed for it, Monica Velula Geller.",neutral
"Look, it’s like I told you, there’s nothing I can do. You signed for it, Monica Velula Geller.",neutral
"All right, Jester man, look we wanna see the king.",neutral
Nobody sees the king!,angry
"Oh-ho-kay, I’m talking to the king.",neutral
Hey! You can’t go back there!,surprised
Hey! You can’t go back there!,surprised
Oh my God.,surprised
"So, this must be kinda neat for ya, huh?",neutral
"I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don’t have to sell those cookies anymore.",neutral
"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a",sad
"Wow, you ah, you really like all this space stuff, huh?",surprised
Yeah.,neutral
"My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he’d be able to afford a trip to the Taj Mahal.",neutral
I think you would have to clean a whole lot of apartments to go all the way to India.,neutral
"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me.",sad
"Oh, um, I don’t know if that’s a good idea.",happy
"Oh. Look, just friends, I won’t grope you. I promise.",neutral
"No, I just I think that it’s too soon.",happy
"No it’s not too soon, I had lunch at a eleven.",neutral
I invented the game of Cups as a way to give Joey money.,neutral
And now you want that money back.,surprised
Exactly.,neutral
"Chandler, what kind of an idiot do you take me for?",happy
It’s not a real game! I made it up!,angry
"I’m sorry you lost your money, but I won it fair and square.",happy
I don't know.,neutral
But I can see through your sheet.,neutral
"Yeah, yeah, that's her.",neutral
But y'know what?,neutral
"Doesn't matter, I'm never gonna get to meet her anyway.",sad
Why?,neutral
"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.",sad
"What are you talking about?  She obviously lives on the second floor, seventh apartment from the left!",surprised
No. No. No. She lives on the,neutral
"No, those first two windows,  that's the lobby.",neutral
"And y'know the other one over there, that's the stairway.",neutral
You've been counting wrong.,neutral
I did,angry
"Monica, betting the apartment, I don’t know about this.",fearful
"Rachel, I have not missed one question the whole game. I own this game! Look at my hand.",happy
Why? Do you have the answers written on there?,surprised
"No! Steady as a rock! Now, are you with me.",neutral
"All right, let’s do it.",fearful
"All right, let’s do it.",fearful
"All right, gentlemen, you’re up first.",neutral
"All right, gentlemen, you’re up first.",neutral
Okay.,neutral
You have 30 seconds. And the lightning round begins—stop it —now. What was Monica’s nickname when she was a field hockey goalie?,neutral
Big fat goalie.,neutral
Correct. Rachel claims,neutral
Correct. Her actual favorite movie is...,neutral
Weekend at Bernie’s,neutral
Okay.,neutral
Okay.,neutral
Okay.,neutral
You have 30 seconds. And the lightning round begins—stop it —now. What was Monica’s nickname when she was a field hockey goalie?,neutral
Correct. Rachel claims,neutral
Dangryous Liaisons,neutral
Correct. Her actual favorite movie is...,neutral
"Well, look, why don’t you just, why don’t you do your Phase Two strip club thing with us.",neutral
"Yeah, come on, we can be guys!",happy
"Yeah, come on, we can be guys!",happy
No you can’t.,happy
"You don’t want to be guys, you’d be all hairy and wouldn’t live as long.",disgusted
No you can’t.,happy
"You don’t want to be guys, you’d be all hairy and wouldn’t live as long.",disgusted
"Y’know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!",angry
Okay.,neutral
I’m sorry.,sad
"And y'know what, I just realised, in the last year I’ve only gone out with two guys, Richard and Julio.",surprised
"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",fearful
"Well, that shouldn’t be a problem. I mean I work in fashion and all I meet are eligible straight men.",neutral
"Pete, can I get you something else?",neutral
"Well, I mean, are you sure you want to go out with her?",neutral
"I mean that ain’t a pretty picture in the morning, y’know what I mean.",disgusted
"That wig all in disarray, and boobs flung over the night stand, y'know.",disgusted
"I mean really, think about it.",neutral
"And y'know what, I just realised, in the last year I’ve only gone out with two guys, Richard and Julio.",surprised
"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",fearful
"Pete, can I get you something else?",neutral
"Yeah, a slice of cheesecake and-and a date if you’re given’ ‘em out.",neutral
Haven’t you and I covered that topic?,neutral
"Hmm, come on, you just said to her that you….",neutral
"Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food.",happy
"Well, if that were true, I’d dating my Aunt Ruth.",happy
And the two times we went out were just plain awkward.,disgusted
"Come on, you think she should go out with me, don’t you?",neutral
"I mean really, think about it.",neutral
"Ho-ho, I will.",neutral
"Well, if that were true, I’d dating my Aunt Ruth.",happy
And the two times we went out were just plain awkward.,disgusted
"Come on, you think she should go out with me, don’t you?",neutral
"Well, I mean, are you sure you want to go out with her?",neutral
"I mean that ain’t a pretty picture in the morning, y’know what I mean.",disgusted
"That wig all in disarray, and boobs flung over the night stand, y'know.",disgusted
I believe I read that somewhere!,surprised
"That only is not funny, it's physically impossible!",angry
Okay?,angry
Depending    on the species I'd have to have a six foot long...,angry
It's not funny!,angry
I respectfully disagree.,neutral
I can't believe you put that on my alumni page!,angry
Who cares? Nobody reads those things,neutral
You'd better hope not because I just read what you put on your    page today.,angry
I don't have a page.,neutral
Oh oh oh! I RESPECTFULLY DISAGREE!!,angry
I know I miss you too. I can't wait to see you. I love you. Bye.,happy
"Okay, what is in here? Rocks?",surprised
"No-no, this is my collection of fossil samples.",neutral
"So, rocks.",disgusted
"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",sad
"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",sad
"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",happy
"I loved this place! To tell you the truth, I wish I didn't have to move.",happy
"Uhh, are you saying that you're not entirely happy about this?",surprised
"Well, I mean if uh, if Emily gave me a choice",sad
You,neutral
Why?,neutral
"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",happy
"I left a bra drying on the shower rod, you don’t think your son will think it’s yours and be horribly traumatised?",happy
"Hey, if mommy can have a wife, daddy can have a bra.",neutral
"Ohh, it’s time to go.",neutral
"Oh, no-no-no, see, that-that clock’s a little fast, uh, we have 17 minutes.",neutral
"Huh, what can we do in 17 minutes?",neutral
Twice?,neutral
Well that’s ambitious.,neutral
"Hey, uh, you can ignore that.",neutral
That’s Carol with your son!,surprised
"Morning’s here! Sunshine is here! The sky is clear, the morning’s here! The morning’s here!",happy
HEY!! Do you,angry
Oh come on! Morning’s here!  Morning’s here! The morning is here! Sunshine is here!,happy
I,neutral
I,neutral
Are you kidding? I love that guy!  Morning’s here! Morning is here—,happy
Stop it! I will kill you. I hate the fact that my room is so small.,angry
Stop it! I will kill you. I hate the fact that my room is so small.,angry
"Hey, I have all the space I need. Just do what I did.",neutral
"Monica, you don’t even have a bed, you sleep in a ball on the floor!",angry
Y’know what? I am,neutral
I’m sorry. I’m so sorry.,sad
Okay.,neutral
Okay.,neutral
"See, this is a",neutral
Shut up! This place is a hole!,angry
Are you under the sheet?,neutral
Yes.,neutral
"Great, let’s begin.  How’s the pressure?",happy
Nice! Wow Phoebe you are good!,happy
"Stating the obvious, but thank you. And it’s not weird is it.",happy
No. Ooohh,happy
"That’s right, you just enhappy.",neutral
Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,happy
Okay.,neutral
Oh God Phoebe!!  Oh that’s it! That’s it! Right there! Oh!  Ooooh-oooh-ooooh,happy
Become a drama critic!,happy
I am hurt!  A plague on both your houses!,sad
"By the way, he dumped me tonight after he read my review.",sad
"By the way, he dumped me tonight after he read my review.",sad
"Oh, classy.",disgusted
"Yep! I sure know how to pick ‘em, huh? Y'know I gave up a part on a soap for this!",sad
"Wow! Yeah I ah, I gave up a job too.",angry
Really. What?,surprised
"Uh, de-clawing cats.",angry
"Hey, tell ya what.",neutral
Let me walk you home.,neutral
We’ll stop by every news stand and burn every copy of their Times and the Post.,angry
Why the Post?,surprised
"Oh, you didn’t see the Post?",surprised
No. You?,neutral
No. Why?,neutral
Hi Joey! What are you doing here?,happy
"Uhh, well I’ve got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one?",neutral
"Yeah, sure. Umm…here.",neutral
Great.  You got anything that’s not,disgusted
"Yeah, I don’t think so Joe.",neutral
"All right, I guess this will be fine.",neutral
"Hey, listen umm, what-what are you doing tonight?",neutral
"Nothing, why?",neutral
How would you feel about taking out my assistant Tag? I’ll pay.,neutral
"Huh, Rach I got to say it’s gonna take a lot of money for me to go out on a date with a dude.",disgusted
I’m not asking you to go on a,neutral
Really? ‘Cause I could kinda use the money.,surprised
"Joey, just-just he-he’s new in town and I know he doesn’t have any guy friends.",neutral
Just take him to like a ball game or something.,neutral
I’ll really appreciate it.,neutral
"Yeah, okay.",neutral
Yeah?,surprised
"Sure, no problem.  Ooh—Hey, donuts!",happy
"Problem odour in the litter box? Don’t change your kitty, change your kitty litter.",neutral
"Sorry, Pheebs.",sad
"Sorry, Pheebs.",sad
Yeah. You okay?,neutral
"No! Sorry, I just thought you were somebody else. Hi!",surprised
"Hi. Well, look, I was just gonna leave a message, isn’t tonight your, your big anniversary dinner?",neutral
"Yeah. Well, umm.....",sad
"Rach, are you okay?",surprised
"Yeah, I’m fine.",sad
"You wanna talk, I mean I can come over?",neutral
"No! Really, no, please, please, that’s, that’s okay.",sad
"All right, all right, I’m coming over, and I’m bringing Chinese food.",neutral
"Oh, yeah, I’m not, I’m not hungry.",sad
It’s for me.,neutral
"Oh. Okay, bye.",neutral
Transit Authority?,neutral
"Yes, hello.",neutral
"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus.",neutral
"Hi, here's the deal.",neutral
We lost a carseat on a bus today.,neutral
"It's white plastic, with a handle, and it fits onto a stroller.",neutral
"Oh, and there was a baby in it.",neutral
He wants to talk to you again.,neutral
Hello.,neutral
I’m sorry I’m a little late.,neutral
Whoa,surprised
"Let me start by uh, by introducing myself, I am Professor Geller.",neutral
"So to sum up, I’m Professor Geller.",neutral
"Okay, I have to tell you something that I have never admitted during our entire friendship!",angry
"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",angry
"Wow, that feels so good to get off my chest!",happy
"Okay, you go!",angry
My turn? What-what are you talking about?,surprised
"Ugh, Monica, I know about you and Chandler.",disgusted
What?!,surprised
"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours.""",neutral
"And he said, ""Laundry?",neutral
Is,neutral
Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,happy
"Well, I wouldn't know because I got so freaked out that I hung up the phone.",angry
"Well, if you had kept listening, you-you would have heard me call him Mr. Big……ot.",neutral
What?!,surprised
Mr. Bigot. He tells the most,neutral
All right. So you're telling me that there is nothing going on between you and Chandler.,angry
Me and Chandler?!,surprised
"I really thought you making a good point. I mean y'know, until you got cut off.",neutral
"Yeah, what's up with that girl Monica?",neutral
I don't know! I didn't come with her!,angry
I don't know! I didn't come with her!,angry
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,happy
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,happy
A test?!!,surprised
Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,happy
"Okay I’ve got one for you, if you had too which one would you rather eat, a seeing eye dog or a talking gorilla?",neutral
"I’d have to say…the talking gorilla, because at least I can explain to him that you’re making me eat him.",neutral
Somebody went to college. Wow.  What is it? I’m sorry.,surprised
"Okay, I hear you loud and clear. Bob will stay put.",neutral
I think it’s best sir.,neutral
But we really do need to find someone up here.,neutral
The work is starting to pile up.,neutral
I’ve got a stack of documents on my desk this high.,neutral
"Y’know what you should do, just toss ‘em in the shedder and claim you never got ‘em.",neutral
That’s a good one.,neutral
What does a guy have to,neutral
"Yeah, yeah, everybody's here. Hey, everybody, say hi to Julie in New Mexico.",neutral
"Hi, Julie!",happy
Isn’t there a national football league.,neutral
"Yes. Yes, there is, they play on Sundays and Monday nights.",neutral
"Yes. Yes, there is, they play on Sundays and Monday nights.",neutral
Oh shoot! I work Monday nights.,sad
Oh shoot! I work Monday nights.,sad
"Umm, this stuffing is amazing. Do you think we should bring them some?",happy
"Umm, this stuffing is amazing. Do you think we should bring them some?",happy
"When they’re hungry enough, they’ll come in.",neutral
"Hey Joey, you wanted to talk to me?",neutral
"I don’t know. You uh, you got something for me?",neutral
"Oh, yeah, this is from Rachel.",neutral
Ten. Okay. Now Tag there’s such a thing as too many women.,neutral
Really?,surprised
"Yeah, for you!",happy
"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",surprised
That's,neutral
"Hey, I've been honing!",angry
"Oh, uh..",fearful
I want her to think I might be in a restaurant.. y'know?,fearful
"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",angry
"Look look! He's doing it again, the guy with the telescope!",surprised
"Hey, I've been honing!",angry
What was with the dishes?,neutral
"Oh, uh..",fearful
I want her to think I might be in a restaurant.. y'know?,fearful
"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",angry
"Look look! He's doing it again, the guy with the telescope!",surprised
Oh my God!  Go away!  Stop looking in here!,angry
"Great, now he's waving back.",disgusted
"Great, now he's waving back.",disgusted
"Man, we gotta do something about that guy.",disgusted
"This morning, I caught him looking into our apartment.",disgusted
It creeps me out!,angry
I feel like I can't do stuff!,angry
What kinda stuff?,happy
"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",disgusted
"Man, we gotta do something about that guy.",disgusted
"This morning, I caught him looking into our apartment.",disgusted
It creeps me out!,angry
I feel like I can't do stuff!,angry
"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",disgusted
You cook naked?,surprised
"Yeah, toast, oatmeal... nothing that spatters.",neutral
"Oh, uh..",fearful
I want her to think I might be in a restaurant.. y'know?,fearful
"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",angry
"Man, we gotta do something about that guy.",disgusted
"This morning, I caught him looking into our apartment.",disgusted
It creeps me out!,angry
I feel like I can't do stuff!,angry
"Yeah, toast, oatmeal... nothing that spatters.",neutral
What are you looking at me for? I didn't know that.,surprised
Y'know they say a watched pot never beeps.,neutral
"It’s just y'know, been a couple of hours, and she hasn’t called. Not that I even care, y'know.",sad
Phoebe why don’t you just call her? You obviously want to.,neutral
You think you know me so well.,angry
"Well, don’t ‘cha wanna?",neutral
Yeah.,neutral
"Okay, well I do know you.",neutral
That’s what I said.,neutral
Well so?,neutral
I can’t.,sad
I can’t.,sad
"She dumped me, I mean I totally trusted her and then one day it was ‘Okay, bye Pheebs’ gone.",sad
"Y'know what the saddest part is, when we were playing together, that was like the most fun I’ve ever had in like all my lives.",sad
"Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel.",neutral
"Oh. Well, hold on camper, are you sure you've thought this thing through?",neutral
It's laundry. The thinking through is minimal.,neutral
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",happy
Nuh-uh.,fearful
Yuh-huh.,happy
"So what're you saying here? I should shave again, pick up some wine, what?",surprised
"Well, you may wanna rethink the dirty underwear.",disgusted
This is basically the first time she's gonna see your underwear—you want it to be dirty?,surprised
No.,neutral
"Oh, and uh, the fabric softener?",neutral
"Ok, ok, now what is wrong with my",angry
"Ok, so it's just because it was my table, I have to buy a new one?",angry
That's the rule.,neutral
"What rule? There's no rule, if anything, you owe me a table!",angry
How'd you get to that?,angry
"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",angry
You knew about that?,surprised
"Well, let's just say the impressions you made in the butter left little to the imagination.",disgusted
"Ok, ok, How about if we split it?",neutral
"What do you mean, like, buy it together?",neutral
Yeah,neutral
You think we're ready for something like that?,neutral
Why not?,neutral
"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?",neutral
"Why, are you moving out?",surprised
I'm not moving out.,neutral
You'd tell me if you were moving out right,fearful
"Yeah, yeah, it's just that with my last roommate Kip...",neutral
"Aw, I know all about Kip!",angry
"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",angry
"Well, let me ask you something, was Kip a better roommate than me?",sad
"Aw, don't do that",sad
"Ooh, oh no! I have to go! I have a massage appointment.",sad
"Oh no, stay here we’ll keep doing this. I’ll pay you.",neutral
"No, I got in trouble for that before. I’ll see you later.",neutral
Absolutely.  I love the way you kiss.,happy
Oh my God! Oh my God! I’m so sorry!,fearful
"Aw forget it, it’s from",neutral
"Aw forget it, it’s from",neutral
You think you can knock up my daughter and then not marry her?! I’m gonna kill you!!,angry
Y’know this is actually not a great time for me.,sad
"Okay! So, we’ll just stay married.",happy
"Yes, exactly!",happy
And I will make everyone call me Mrs. Geller!,happy
"Wow! This is so amazing. I uh, I really thought I’d have to talk you into this more.",happy
What-wh-what so we’ll just stay married forever?!,surprised
"Okay, look, how is this gonna affect you?",neutral
Really?,angry
I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,happy
It’s,neutral
"Ohh, okay, I’m sorry.",sad
You’re right.,neutral
Y’know what?,neutral
I’m asking you to do me a favor.,neutral
You are asking me to be your wife!,angry
And as my wife I think you should grant me this favor.,neutral
Oh my God!,surprised
"I know, I know, I'm such an idiot.",happy
"My brother's going through that right now, he's such a mess. How did you get through it?",neutral
"Well, you might try accidentally breaking something valuable of hers, say her-",neutral
#NAME?,neutral
"That's one way! Me, I- I went for the watch.",neutral
You actually broke her watch?,surprised
You actually broke her watch?,surprised
"Barry, I'm sorry...",sad
I am so sorry...,sad
"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",sad
"No real-, honey, really it’s fine, just g-go with Susan.",neutral
"Really, I, no, I think girls night out is a great idea.",happy
"Okay, okay, bye",neutral
So what are they doing?,neutral
"I don’t know, something girlie.",happy
"Hey, you’re early.",neutral
"Hey, you’re early.",neutral
What are you doing with the lamp?,surprised
I’m just taking it to be re-wired.,neutral
"Oh, well don’t take it to the same place you took the stereo, ‘cause they’ve had that thing for over a week.",disgusted
"No, no, Mr. Heckles no one is making any noise up here.",neutral
"No, no, Mr. Heckles no one is making any noise up here.",neutral
You’re disturbing my oboe practice.,angry
You don’t play the oboe!,angry
I could play the oboe!,angry
Ohhh! That is soo sweet!,happy
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",happy
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",happy
"All right that's, that's it!! Get off her!",angry
What is going on?,surprised
What's going on?!  That's what's going on!!,angry
I have been down in your store for twenty minutes trying to get a tie!,angry
What do I have to do to get some service?!,angry
Hi Rach.,neutral
What's going on?!  That's what's going on!!,angry
Ross!,surprised
I have been down in your store for twenty minutes trying to get a tie!,angry
What do I have to do to get some service?!,angry
Hi Rach.,neutral
Ross?,neutral
Yeah?,neutral
Hey it’s Mona! From the wedding.,happy
Oh hi!,happy
Hi!,happy
Wow! Uh…how are you?,surprised
"I’m good except umm, you still owe me a dance.",neutral
"Oh that’s right. Well uh, would you be interested in seeing a Ukrainian film?",happy
Oh you’re serious. Sure!,surprised
Great! Well umm,happy
I think I might need one more cup of coffee.,neutral
"Sure! Uh, let me get it for ya.",neutral
Okay.,neutral
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",sad
Go!,angry
"What? Hey wait a minute! Phoebe, how do you even know who the father is?",surprised
"I may play the fool at times, but I’m a little more than a pretty blond girl with an ass that won’t quit.",angry
I believe this belongs to the father of your baby.,neutral
"Oh God… Oh, he’s in there right now?",surprised
Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?,neutral
"Uh, let’s rip!",fearful
Really? Are you sure?,surprised
Oh Phoebe!,happy
"Okay, sorry. Yeah.",neutral
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",sad
Go!,angry
"I may play the fool at times, but I’m a little more than a pretty blond girl with an ass that won’t quit.",angry
I believe this belongs to the father of your baby.,neutral
"Okay, sorry. Yeah.",neutral
Hey Rach.,neutral
"Hey, thank you so much for these tickets, Chandler.",happy
"Oh well, this was a really important experience for me, and    I wanted to share it with you.",happy
"Oh well, this was a really important experience for me, and    I wanted to share it with you.",happy
"Oh, you're so wonderful.",happy
"It can’t be me, I’m standing right here.",neutral
Wanna peek?,neutral
Come on!,surprised
We’re not peeking?,sad
Well I’m peeking.  Oh my God!,surprised
Wanna peek?,neutral
No!,disgusted
Come on!,surprised
Well I’m peeking.  Oh my God!,surprised
"Hello sir, you know Monica.",neutral
Chandler is fantastic!!,happy
What?!,surprised
Y’know how people just click?,happy
"Like he came by to pick me up, and I opened the door, and it was just like, click!",happy
Did he tell you?,surprised
"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",happy
"Oh, I know...",happy
"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",happy
Y’know how people just click?,happy
"Like he came by to pick me up, and I opened the door, and it was just like, click!",happy
Did he tell you?,surprised
"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",happy
"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",happy
Isn’t this great?!,happy
Don’t spoil it.,neutral
Hi.,neutral
"Hi, sweetie!",happy
Hello.,neutral
"Yeah, huh.",neutral
I?ve got some bad news.,sad
What?,fearful
"I can get a quick bite to eat, but then I have to come back up here.",neutral
"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",sad
"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",happy
"Nooo, he?s leaving for a better job.",neutral
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",happy
Okay.,neutral
Well we?re gonna miss you around here.,sad
Hello.,neutral
"Hi, Ross.",neutral
"Yeah, huh.",neutral
"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",sad
"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",happy
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",happy
"Okay, then.",neutral
Okay.,neutral
"Yeah, me too.",sad
"So, see ya on Saturday.",neutral
Well we?re gonna miss you around here.,sad
"Yeah, me too.",sad
"So, see ya on Saturday.",neutral
"Yeah, you bet.",neutral
Whazzup??,neutral
"Seriously dude, 3 years ago.",happy
"Listen, can you do me a favor?",neutral
I'm gonna be out today.,neutral
"Can you    just keep an eye on Joey, make sure nothing happens between him and Molly?",neutral
You don't trust him?,surprised
I think the check in is that way.,neutral
Ahh.,neutral
"Monica face it, Chandler is against marriage. And-and always will be!",neutral
Well there’s some people who do want to marry me.,angry
There are?,surprised
Yeah! Richard!,angry
R-R-Richard said he wants to marry you?!  And-and Chandler’s tellin’ ya how much he hates marriage?!,surprised
That’s right.,neutral
Chandler,neutral
You just told me that he hates marriage!,surprised
That-that he’s a-a complex fellow who’s unlikely to take a wife!,angry
That-that he’s against marriage and always will be!,angry
You got,neutral
"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",fearful
I knew.,neutral
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,surprised
I did.,neutral
Oh.,sad
"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here—but do you think it would be okay if I asked you out?",fearful
Sometime?,neutral
Maybe?,neutral
"Yeah, maybe...",happy
"Okay... okay, maybe I will...",happy
"Well, I just thought it’d make me feel good to do something nice for my friend.",neutral
"Well, you’re amazing.",happy
Oh no-no-no.,neutral
"A TV as if it appears from nowhere! That’s the dream! Man, how did you afford this stuff?",surprised
"Well, y’know I’m 29. I mean who needs a savings account.",neutral
"Oh, you are the best friends anyone has ever had.",happy
"Oh, I don’t know.",fearful
"Oh-no-no-no, you are!",happy
"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, I’m gonna do that.",happy
You mean with Casey.,neutral
"No-no-no, I think I’m gonna see how things go with Kathy. She’s pretty cool.",neutral
Or Casey.,neutral
"No-no, Kathy.",neutral
Could be Casey.,neutral
"No. No, Kathy.",neutral
Consider Casey.,neutral
I think somebody’s got a little crush on Casey.,happy
How ‘bout I fix you two up?,happy
What do you think?,happy
That all the pieces of my life are falling right into place!,happy
"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",neutral
"Honey, what’s the matter?",neutral
I just saw Janice.,neutral
"‘Cause every time I see your face, I can’t help but fall from grace. I know.....",happy
Wow! This girl is good.,surprised
